1;ANGAITZA;8;Dólmen corto cerrado;Concejo de Beorburu. Ayuntamiento del Valle de Juslapeña;Cerca del alto de Angaitza;"A 15 minutos desde Beorburu, en dirección Norte
Hoja cartográfica Nº 115-12";Ulzama#0001_TEX_25.pdf#;4753750;603400;860;0.00544260978502137,-7.44615386328269;sábado, 15 de abril de 1905;P. Urra;"Túmulo circular poco determinable. Cámara de recinto rectangular, más bien trapecial por tender las paredes a cerrarse a la entrada. Cubierta desplazada al realizar la cata de reconocimiento, por lo que se encuentra fragmentada.
Documentado por tres diapositivas, en las que debido a la maleza tapa la conformación del monumento.

?  W.E.  10 m ?
      N. S.  11m 
      Altura aprox. 1m
      Tierra y piedra
                   Viane tiene medidas las losas
Hoy se ven
Losa de cabecera orientada a 15?
Losa N (W.E.) orientada a 120?
Losa S (W.E.) orientada a 77?
6 piedras ( A6 x 40)            al E.
1 piedrra (1 x 70) 
1 piedra  (1,3 x 1,7)         E. enterradas
1 piedra  ?                         E. enterradas
1 piedra 1 x 1 a SE  (cierre cámara ?)";En 1932, se realizó una cata de reconocimiento, por P. Urra;"P. Urra se lo comunicón a J.M. de Barandiarán y la cata de reconocimiento dio restos humanos cuyo paradero es desconocido.
Este dómen tiene posibilidades de ser reconstruido, colocándole la tapa . Hay que levantar un croquis y medir las locas.

Topónimo ARANGAITZ  en mapa 1/25.000     115-1

Bibliografía: J.M. de Barandiarán. Catálogo des stations. 1946
J.M. de Barandiarán . Hombre prehistórico. 1953";;Bloc 12. Atez Ulzama;Croquis;0001_DIB_1.pdf;Fotos;0001_FOT_2.pdf;;;;;;;;;;;;
2;LIXETO;1;¿Dolmen?;Olave;Al NE del pueblo de Olave en la cota 912m;Osacain;;615830;4749735;912;42.8914352248028,-1.58142456140382;sábado, 22 de octubre de 1977;Franciso Ondarra;"Túmulo de unos 18m ? con caráter central de uno 8m de parte a parte altura media de 1,5m
Dos losas erguidas:
Losa nº 1.  W de 0,5m de alto, 1,5m de largo y  0,2m de grueso
Losa nº 2   SE      1,7m      ""       , 0,75m     ""        y  0,2/0,25m    ""
Sobre esta losa se alza un buzón de montañeros con la leyenda: S.D. ERLAITZ-IRUN
Losas calizas del terreno.
El túmulo se encuentra cubierto de bojes y avellanos, zarzamoras y arbustos.";No se conoce;Bibliografía: Príncipe de Viana nº 165.    1982;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
3;ARMAIIA;1;Dolmen;Usechi;En la ladera E. del monte Baratxueta (1141m);"Usechi
Hoja cartográfica Nº 115-8";;617870;4757340;1010;42.9595857749396,-1.55484851285219;domingo, 30 de septiembre de 1962;Tomás López Sellés;"Losas: 2
Características: Calizas.
Túmulo: 27m

Túmulo de 27m de diámetro y 2m de altura.
Cámara con dos losas en el cráter central y otra desplazada de cráter.
Calizas del terreno";No se conoce;Catálogo en Munibe con el nº 60-2.  1973;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
4;BAIIARNEGI;1;Dolmen;Iragi - Egozkue;En lo alto de la segunda cota después de Tamporrene;"Iragi
Hoja cartográfica Nº: 115-4";;617280;4758800;980;42.9728202228284,-1.56177378612529;domingo, 29 de noviembre de 1959;Florencio Sarasate;"Túmulo de 14m de diámetro y 1,5m de altura de piedras.
Cráter central sin losas de cámara.";No se conoce;"Aunque lo localizó F. Sarasate, fue publicado por Tomás López Sellés
Está catalogado en Munibe con el nº 60-1.  1973";;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
5;KARETE;2;Túmulo (5);Arizu;500m al NW. De la iglesia de Arizu;"Arizu
Hoja cartográfica Nº: 115-3";;612580;4759380;674;42.9787512983138,-1.61927721502288;lunes, 11 de agosto de 1975;Francisco Ondarra;"Túmulo 1: Ovalado. Diámetro E-W: 8m. Diámetro N-S: 6m. Alltura: 0,3m
Túmulo 2: Diámetro, 6m . Altura: 1m al E., 0,2m al W.
Túmulo 3: Diámetro, 4m. Altura: 0,6m por el E. y 0,2m por el W.
Túmulo 4: Diámetro, 7m. Altura: 1m por el N. y 0,2m por el SW.";No se conoce;"Francisco Ondarra no asegura, sino que los da como posibles túmulos.
Bibliografía: Príncipe de Viana: 144/145,  1976,";;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
6;LANZ;2;Túmulo;Lanz;Frente a la Venta de Arraiz, camino a Lanz;"Arraiz
Hoja cartográfica Nº: 90-15    Escala: 1:10.000";;612225;4763000;780;43.0113927568162,-1.62290222173304;martes, 18 de abril de 1905;Victoriano Larrainzar;"Túmulo de 12m de diámetro y 1,1m de alto.
Cráter central sin losas de cámara.
Calizas del terreno.";No se conoce;"El localizador se lo comunicó a J.M. Barandiaran, quien lo dio a conocer.
Está catalogado en Munibe con el nº 59-5
Cercano a este túmulo existe otro de similares proporciones, de piedra.

Bibliografía: Munibe, 1973.";;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
7;AGIÑETA;2;Túmulo;Lanz;A 2,6 km al E.NE. De Lanz;Lanz;;615265;4762090;905;43.0027457780887,-1.58579773974992;lunes, 11 de agosto de 1975;Francisco Ondarra;"Túmulo de 9m de diámetro y 1m de altura en el lado W.SW. Y 0,3m por el E.NE., de piedras. 
No se distingue cráter central.
Está cubierto de musgo y hojarasca.
Areniscas del terreno";No se conoce;Bibl.: Príncipe de Viana, 144/145.  1976;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
8;AGIÑETA I;7;Dolmen corto abierto;Lanz;A 50m del túmulo y 110?;"Lanz
Hoja cartográfica Nº: 90-16   E:  1/10.000";;615315;4762090;905;43.0027381975079,-1.5851844657055;sábado, 16 de agosto de 1975;Francisco Ondarra;"Túmulo de 6m de diámetro y 0,8m de altura por el SW. y  a ras del suelo al NE.
Dos losas clavadas.
El túmulo es e piedras recubierto de musgo y en él crecen seis hayas, abundan las raíces.
Dimensiones de las losas:
1.- Losa N.: 0,35m alto, 1,85m largo y 0,05/0,10 m grosor.
2.- Losa S.:  0,70m alto, 1,75m largo y 0,07m grosor. 
La losa S. está partida en tres trozos.
La losa N. está inclinada hacia el interior.
Al pie del galgal, a 180? hay un trozo de losa de 1m de largo y 0,70m de ancho y 0,18m de grosor.
La cámara mediría 0,80m de andho.
Areniscas.";No se conoce;Bibl.: Príncipe de Viana nº 144/145.  1976.;;Bloc 12. Atez Ulzama;Croquis;0008_DIB_4.pdf;;;;;;;;;;;;;;
9;AGIÑETA II;7;Dolmen corto abierto;Lanz;A 50m. y 90;"Lanz
Hoja cartográfica Nº: 90-16   E: 1/10.000";;615365;4762091;910;43.0027396159755,-1.58457098519714;sábado, 16 de agosto de 1975;Francisco Ondarra;"Túmulo de 13m de diámetro y 1m de alto por el lado S. y a ras del suelo en el N.NE., de piedras cubiertas de musgo. En el túmulo crecen unas 13 hayas.
Tres losas incadas:
1. Losa N.: 0,5m de alto, 0,95m de largo y 0,1m de grueso
2. Losa E.: 0,6m de alto, 2,1m de largo y 0,05/0,2m de grueso
3. Losa W.: 0,7m de alto, 1,75m de largo y 0,15/0,2m de grueso
Las losas N. y E. están inclinadas hacia el interior. La losa W., hacia el exterior.";No se conoce;Bibl.: Príncipe de Viana 144/145, 1976;;Bloc 12. Atez Ulzama;Croquis;0009_DIB_5.pdf;;;;;;;;;;;;;;
10;ETENEKO GAÑA;1;Dolmen?;;;"8-D     Hoja cartográfica Nº: 90-11/C
Nos situamos en el alto del Puerto de Velate, junto al edificio de Venta Quemada, a la derecha de este edificio parte una pista y traspasando una puerta de hierro continuamos por la pista que sube al repetidor de Velate, dejando un ramal a nuestra izda.
Como a unos 100m dejamos la pista de decha, continuando por la izda que entre hayas asciende, pasando a la izda de una casa refugio.
Descendiendo del repetidor al collado de Bentatxar donde veremosun arboleda enfrente al final de una loma alargada. Cruzaremos la alambrada del collado en la puerta que deja el barranco a la izda y la loma a la decha, la pista continúa hasta el final de la loma, continuando por otra loma a la izda, desde esta curva, continuamos el collado de ETENETAKO GAÑA donde veremos el túmulo de su nombre. 54-5.
A nuestra izda, habrá quedado la cima de Putxetako Gaña y la del Txaruta.";;609200;4768240;1030;43.0590067553168,-1.65898455563654;jueves, 4 de mayo de 1905;J. Elosegui;"¿Dolmen?
Túmulo circular de 14m de diámetro y 1m de altura, de piedras.
Cráter central sin losas de cámara.
Calizas del terreno.";No se conoce excavación;;;Bloc 12. Atez Ulzama;;;;;;;;;;;;;;;;
11;ARKATXU;;;Suarbe;En una planicie al S. de Ilarregi y al O. del monte Zugasmendi;;;;;775;;;;"6 losas. Piedras y tierra
Túmulo desfigurado por el E. por algún haya y rebajado por el lado S.
Es difícil precisar sus dimensiones, aunque en el eje N-S medimos un diámetro de 12m, en el eje E-O, diámetro 14m, de altura tiene unos 0,8m.
Cámara alargada de unos 3,25m de largo por 0,9m de ancho.
Formado por cuatro losas laterales y otras dos en al cabecera paralelas entre sí.
Actualmente la forma original de la cámara está deformada, teniendo aspecto trapezoidal, orientado N-S.
Hay pequeños trozos de losas esparcidas por el túmulo que podrían corresponder a la tapa rota.";;;;Bloc 12. Atez Ulzama;Croquis;0011_DIB_6.pdf;;;;;;;;;;;;;;
